t = 0.1 , x = 3.8, u = 0.00850886
t = 0.1 , x = 3.85, u = 0.00634461
t = 0.1 , x = 3.9, u = 0.00467832
t = 0.1 , x = 3.95, u = 0.00341135
t = 0.1 , x = 4, u = 0.00245989
t = 0.1 , x = 4.05, u = 0.00175412
t = 0.1 , x = 4.1, u = 0.00123696
t = 0.1 , x = 4.15, u = 0.000862592
t = 0.1 , x = 4.2, u = 0.000594854
t = 0.1 , x = 4.25, u = 0.000405668
t = 0.1 , x = 4.3, u = 0.000273581
t = 0.1 , x = 4.35, u = 0.000182455
t = 0.1 , x = 4.4, u = 0.000120333
t = 0.1 , x = 4.45, u = 7.84818e-05
t = 0.1 , x = 4.5, u = 5.0619e-05
t = 0.1 , x = 4.55, u = 3.22866e-05
t = 0.1 , x = 4.6, u = 2.03665e-05
t = 0.1 , x = 4.65, u = 1.27071e-05
t = 0.1 , x = 4.7, u = 7.84483e-06
t = 0.1 , x = 4.75, u = 4.79765e-06
t = 0.1 , x = 4.8, u = 2.91675e-06
t = 0.1 , x = 4.85, u = 1.78107e-06
t = 0.1 , x = 4.9, u = 1.12441e-06
t = 0.1 , x = 4.95, u = 7.86633e-07
t = 0.12 , x = 0, u = 5.21976e-06
t = 0.12 , x = 0.05, u = 5.7834e-06
t = 0.12 , x = 0.1, u = 7.57321e-06
t = 0.12 , x = 0.15, u = 1.08987e-05
t = 0.12 , x = 0.2, u = 1.632e-05
t = 0.12 , x = 0.25, u = 2.4717e-05
t = 0.12 , x = 0.3, u = 3.73942e-05
t = 0.12 , x = 0.35, u = 5.62263e-05
t = 0.12 , x = 0.4, u = 8.38545e-05
t = 0.12 , x = 0.45, u = 0.000123943
t = 0.12 , x = 0.5, u = 0.000181506
t = 0.12 , x = 0.55, u = 0.000263319
t = 0.12 , x = 0.6, u = 0.000378419
t = 0.12 , x = 0.65, u = 0.000538713
t = 0.12 , x = 0.7, u = 0.000759678
t = 0.12 , x = 0.75, u = 0.00106118
t = 0.12 , x = 0.8, u = 0.00146837
t = 0.12 , x = 0.85, u = 0.00201263
t = 0.12 , x = 0.9, u = 0.00273263
t = 0.12 , x = 0.95, u = 0.00367519
t = 0.12 , x = 1, u = 0.00489623
t = 0.12 , x = 1.05, u = 0.00646141
t = 0.12 , x = 1.1, u = 0.00844648
t = 0.12 , x = 1.15, u = 0.0109372
t = 0.12 , x = 1.2, u = 0.0140287
t = 0.12 , x = 1.25, u = 0.0178243
t = 0.12 , x = 1.3, u = 0.022433
t = 0.12 , x = 1.35, u = 0.027967
t = 0.12 , x = 1.4, u = 0.0345372
t = 0.12 , x = 1.45, u = 0.0422487
t = 0.12 , x = 1.5, u = 0.0511947
t = 0.12 , x = 1.55, u = 0.0614504
t = 0.12 , x = 1.6, u = 0.0730658
t = 0.12 , x = 1.65, u = 0.0860592
t = 0.12 , x = 1.7, u = 0.10041
t = 0.12 , x = 1.75, u = 0.116053
t = 0.12 , x = 1.8, u = 0.132875
t = 0.12 , x = 1.85, u = 0.150708
t = 0.12 , x = 1.9, u = 0.169335
t = 0.12 , x = 1.95, u = 0.188486
t = 0.12 , x = 2, u = 0.207843
t = 0.12 , x = 2.05, u = 0.227053
t = 0.12 , x = 2.1, u = 0.245729
t = 0.12 , x = 2.15, u = 0.26347
t = 0.12 , x = 2.2, u = 0.279869
t = 0.12 , x = 2.25, u = 0.294534
t = 0.12 , x = 2.3, u = 0.307097
t = 0.12 , x = 2.35, u = 0.317234
t = 0.12 , x = 2.4, u = 0.324678
t = 0.12 , x = 2.45, u = 0.329227
t = 0.12 , x = 2.5, u = 0.330757
t = 0.12 , x = 2.55, u = 0.329227
t = 0.12 , x = 2.6, u = 0.324678
t = 0.12 , x = 2.65, u = 0.317234
t = 0.12 , x = 2.7, u = 0.307097
t = 0.12 , x = 2.75, u = 0.294534
t = 0.12 , x = 2.8, u = 0.279869
t = 0.12 , x = 2.85, u = 0.26347
t = 0.12 , x = 2.9, u = 0.245729
t = 0.12 , x = 2.95, u = 0.227053
t = 0.12 , x = 3, u = 0.207843
t = 0.12 , x = 3.05, u = 0.188486
t = 0.12 , x = 3.1, u = 0.169335
t = 0.12 , x = 3.15, u = 0.150708
t = 0.12 , x = 3.2, u = 0.132875
t = 0.12 , x = 3.25, u = 0.116053
t = 0.12 , x = 3.3, u = 0.10041
t = 0.12 , x = 3.35, u = 0.0860592
t = 0.12 , x = 3.4, u = 0.0730658
t = 0.12 , x = 3.45, u = 0.0614504
t = 0.12 , x = 3.5, u = 0.0511947
t = 0.12 , x = 3.55, u = 0.0422487
t = 0.12 , x = 3.6, u = 0.0345372
t = 0.12 , x = 3.65, u = 0.027967
t = 0.12 , x = 3.7, u = 0.022433
t = 0.12 , x = 3.75, u = 0.0178243
